Or_ID,C_ID,P_ID,Order_Date,Order_Time,Qty,Coupon,DP_ID
ORD00001,CUST04586,PROD04473,2024-05-28,21:20:54,2,FALSE,DP00181
ORD00002,CUST05160,PROD01441,2024-08-11,04:10:05,4,FALSE,
ORD00003,CUST07846,PROD08739,2024-01-07,11:55:50,3,,DP00061
ORD00004,CUST05515,PROD04412,2024-06-08,14:41:18,4,FALSE,DP00198
ORD00005,CUST04662,PROD02867,2024-10-06,04:21:01,1,FALSE,DP00146
ORD00006,CUST09295,PROD06397,2024-05-30,06:37:31,1,TRUE,DP00241
ORD00007,CUST07094,PROD06517,2024-03-21,09:09:59,2,FALSE,DP00428
ORD00008,CUST07648,PROD07431,2024-08-31,21:43:20,1,FALSE,DP00284
ORD00009,CUST02219,PROD02039,2024-10-20,21:55:55,4,TRUE,DP00359
ORD00010,CUST02982,PROD06005,2024-09-09,21:27:51,2,TRUE,DP00313
ORD00011,CUST03709,PROD03886,2024-11-09,17:58:58,4,FALSE,DP00318
ORD00012,CUST04705,PROD03145,2024-12-30,18:04:19,4,TRUE,DP00422
ORD00013,CUST04520,PROD09955,2024-12-30,21:20:29,2,FALSE,DP00380
ORD00014,CUST09322,PROD03764,2024-05-08,20:28:57,1,FALSE,DP00370
ORD00015,CUST06878,PROD00234,2024-06-21,01:10:41,4,FALSE,DP00045
ORD00016,CUST09299,PROD00349,2024-02-12,01:16:31,2,FALSE,DP00126
ORD00017,CUST05787,PROD06035,2024-09-16,02:05:17,1,TRUE,DP00194
ORD00018,CUST08488,PROD05361,2024-05-22,23:44:29,3,TRUE,DP00159
ORD00019,CUST01472,PROD08198,2024-05-19,08:31:49,1,FALSE,DP00263
ORD00020,CUST09098,PROD09183,2024-11-27,05:10:15,1,TRUE,DP00360
ORD00021,CUST06601,PROD05326,2024-01-24,00:48:43,3,FALSE,DP00196
ORD00022,CUST07040,PROD01075,2024-04-04,20:59:40,4,FALSE,DP00095
ORD00023,CUST05112,PROD02684,2024-04-27,14:57:41,4,FALSE,DP00043
ORD00024,CUST00992,PROD08312,2024-02-29,07:08:45,1,TRUE,DP00146
ORD00025,CUST08191,PROD02408,2024-02-14,08:34:10,3,FALSE,DP00318
ORD00026,CUST02566,PROD02976,2024-09-14,23:55:51,2,FALSE,DP00490
ORD00027,CUST00824,PROD05592,2024-07-28,13:30:13,1,TRUE,DP00231
ORD00028,CUST09570,PROD08653,2024-09-11,09:30:18,3,FALSE,DP00250
ORD00029,CUST05592,PROD08861,2024-11-29,00:42:07,1,FALSE,DP00164
ORD00030,CUST07972,PROD00615,2024-02-28,06:24:54,3,TRUE,DP00262
ORD00031,CUST01764,PROD09359,2024-08-08,01:02:34,3,FALSE,DP00326
ORD00032,CUST05089,PROD06009,2024-03-02,01:04:11,2,FALSE,DP00101
ORD00033,CUST09048,PROD05411,2024-07-19,21:32:55,3,TRUE,DP00023
ORD00034,CUST01386,PROD05845,2024-02-15,23:31:56,1,FALSE,DP00442
ORD00035,CUST03709,PROD08797,2024-12-16,17:05:02,5,FALSE,DP00495
ORD00036,CUST00917,PROD05184,2024-08-20,01:40:20,5,FALSE,DP00067
ORD00037,CUST06683,PROD04791,2024-04-22,15:04:42,2,TRUE,DP00110
ORD00038,CUST05641,PROD07323,2024-05-21,11:20:34,1,FALSE,DP00118
ORD00039,CUST06073,PROD09297,2024-03-07,16:48:36,5,TRUE,
ORD00040,CUST07409,PROD09581,2024-09-09,05:45:02,5,FALSE,DP00227
ORD00041,CUST03078,PROD00241,2024-01-10,17:29:27,5,FALSE,DP00132
ORD00042,CUST02026,PROD07518,2024-11-25,07:58:25,4,TRUE,DP00418
ORD00043,CUST05222,PROD09235,2024-02-03,22:02:26,4,TRUE,DP00343
ORD00044,CUST00609,PROD04201,2024-07-08,08:48:55,2,FALSE,DP00044
ORD00045,CUST02394,PROD05989,2024-07-26,20:38:42,5,FALSE,DP00316
ORD00046,CUST01161,PROD09880,2024-02-19,01:00:51,3,TRUE,DP00286
ORD00047,CUST08597,PROD07422,2024-11-14,16:28:45,4,FALSE,DP00366
ORD00048,CUST08270,PROD06407,2024-09-07,09:29:57,4,FALSE,DP00033
ORD00049,CUST03074,PROD07563,2024-04-29,23:42:29,5,TRUE,DP00453
ORD00050,CUST03213,PROD08074,2024-01-31,10:10:23,1,FALSE,DP00401
ORD00051,CUST01640,PROD07173,2024-12-19,04:21:43,2,TRUE,DP00271
ORD00052,CUST09972,PROD07909,2024-03-23,01:04:50,2,FALSE,DP00220
ORD00053,CUST08836,PROD07916,2024-01-29,20:37:05,5,TRUE,
ORD00054,CUST09137,PROD01825,2024-06-21,07:24:44,3,TRUE,DP00227
ORD00055,CUST05925,PROD04505,2024-07-18,07:47:30,1,FALSE,DP00108
ORD00056,CUST01538,PROD02067,2024-08-16,03:17:53,4,FALSE,DP00059
ORD00057,CUST04589,PROD05449,2024-08-18,00:45:11,1,TRUE,DP00216
ORD00058,CUST07990,PROD03098,2024-11-08,13:55:21,4,TRUE,DP00030
ORD00059,CUST09750,PROD07117,2024-03-07,11:21:49,5,TRUE,DP00137
ORD00060,CUST05209,PROD05153,2024-09-28,01:58:16,3,FALSE,DP00478
ORD00061,CUST06386,PROD01663,2024-11-29,01:45:30,1,FALSE,DP00345
ORD00062,CUST06718,PROD00026,2024-11-27,13:29:56,1,TRUE,DP00230
ORD00063,CUST08872,PROD04723,2024-03-16,05:30:39,3,FALSE,DP00245
ORD00064,CUST07621,PROD06147,2024-06-06,01:03:48,3,TRUE,DP00007
ORD00065,CUST00814,PROD06545,2024-08-23,06:31:18,5,FALSE,DP00243
ORD00066,CUST07542,PROD09355,2024-12-12,08:39:57,1,FALSE,DP00073
ORD00067,CUST04045,PROD07871,2024-03-02,11:22:12,4,TRUE,DP00360
ORD00068,CUST07768,PROD05941,2024-10-25,04:31:50,2,FALSE,DP00126
ORD00069,CUST06344,PROD07163,2024-03-16,01:18:35,1,FALSE,DP00367
ORD00070,CUST00637,PROD06611,2024-07-20,00:02:51,1,FALSE,DP00237
ORD00071,CUST02266,PROD03672,2024-07-03,08:57:19,3,FALSE,DP00231
ORD00072,CUST03228,PROD02686,2024-07-10,00:21:12,5,FALSE,DP00382
ORD00073,CUST08865,PROD05886,2024-12-16,08:16:11,1,FALSE,DP00453
ORD00074,CUST06655,PROD00702,2024-04-04,02:56:25,5,FALSE,DP00471
ORD00075,CUST03478,PROD09868,2024-07-12,19:39:08,3,TRUE,DP00387
ORD00076,CUST01237,PROD05609,2024-11-12,17:04:57,2,FALSE,DP00065
ORD00077,CUST01167,PROD01806,2024-02-14,02:16:13,4,FALSE,DP00005
ORD00078,CUST04146,PROD03887,2024-05-12,02:10:21,1,TRUE,DP00193
ORD00079,CUST05524,PROD08768,2024-06-16,00:59:22,4,,DP00327
ORD00080,CUST05249,PROD03116,2024-11-20,12:03:51,4,FALSE,DP00267
ORD00081,CUST05731,PROD03457,2024-02-04,04:00:08,2,TRUE,DP00066
ORD00082,CUST04700,PROD02807,2024-08-17,05:08:12,2,FALSE,DP00360
ORD00083,CUST09076,PROD09247,2024-07-24,23:06:03,5,FALSE,DP00063
ORD00084,CUST03101,PROD06423,2024-04-29,02:00:28,2,FALSE,DP00163
ORD00085,CUST06123,PROD07868,2024-12-12,12:29:16,1,FALSE,DP00123
ORD00086,CUST05504,PROD04994,2024-01-27,16:17:32,4,TRUE,DP00329
ORD00087,CUST07580,PROD00264,2024-08-30,16:38:21,1,FALSE,DP00084
