P_ID,Product_Name,Category,Price,Features,Affected_Price,Del_Charge,Total_Price,Final_Price
PROD00001,LED Light Bulb,Electronics,158,Free Delivery,126.4,50,208,158
PROD00002,Shampoo,Beauty & Personal Care,1535,Free Delivery,1228,46,1581,1535
PROD00003,Sponges,Household Essentials,1508,Free Delivery,1206.4,36,1544,1508
PROD00004,Spaghetti,Recipe Ideas,664,Free Delivery,531.2,44,708,664
PROD00005,Packaged Snacks,Snacks & Drinks,111,Free Delivery,88.8,31,142,111
PROD00006,Wireless Earphones,Electronics,622,Free Delivery,497.6,40,662,622
PROD00007,Dishwashing Liquid,Household Essentials,924,Free Delivery,739.2,44,968,924
PROD00008,Wireless Earphones,Electronics,1125,Free Delivery,900,35,1160,1125
PROD00009,Dishwashing Liquid,Household Essentials,1418,Free Delivery,1134.4,44,1462,1418
PROD00010,Bluetooth Speaker,Electronics,117,Free Delivery,93.6,42,159,117
PROD00011,Phone Charger,Electronics,1834,Free Delivery,1467.2,46,1880,1834
PROD00012,Energy Bar,Snacks & Drinks,474,Free Delivery,379.2,30,504,474
PROD00013,Hair Oil,Beauty & Personal Care,1605,Free Delivery,1284,37,1642,1605
PROD00014,Tea,Groceries & Kitchen Essentials,1602,"Free Delivery, 20% on product",1281.6,35,1637,1637
PROD00015,Tea,Groceries & Kitchen Essentials,541,"Free Delivery, 20% on product",432.8,33,574,574
PROD00016,Scrub Pads,Household Essentials,85,,68,43,128,128
PROD00017,Pizza Base,Recipe Ideas,201,Free Delivery,160.8,36,237,201
PROD00018,Phone Charger,Electronics,974,Free Delivery,779.2,47,1021,974
PROD00019,Shampoo,Beauty & Personal Care,804,Free Delivery,643.2,45,849,804
PROD00020,Wheat Flour,Groceries & Kitchen Essentials,1526,"Free Delivery, 20% on product",1220.8,48,1574,1574
PROD00021,Portable Hard Drive,Electronics,230,Free Delivery,184,49,279,230
PROD00022,Wireless Earphones,Electronics,348,Free Delivery,278.4,35,383,348
PROD00023,Glass Cleaner,Household Essentials,1375,Free Delivery,1100,49,1424,1375
PROD00024,Tissue Paper,Household Essentials,1794,Free Delivery,1435.2,40,1834,1794
PROD00025,Trail Mix,Snacks & Drinks,838,Free Delivery,670.4,49,887,838
PROD00026,Power Bank,Electronics,850,Free Delivery,680,43,893,850
PROD00027,Conditioner,Beauty & Personal Care,848,Free Delivery,678.4,31,879,848
PROD00028,Trail Mix,Snacks & Drinks,959,Free Delivery,767.2,37,996,959
PROD00029,Bluetooth Speaker,Electronics,230,Free Delivery,184,50,280,230
PROD00030,Salt,Groceries & Kitchen Essentials,649,"Free Delivery, 20% on product",519.2,35,684,684
PROD00031,LED Light Bulb,Electronics,341,Free Delivery,272.8,39,380,341
PROD00032,Glass Cleaner,Household Essentials,772,Free Delivery,617.6,43,815,772
PROD00033,Trail Mix,Snacks & Drinks,1361,Free Delivery,1088.8,46,1407,1361
PROD00034,Soft Drink,Snacks & Drinks,874,Free Delivery,699.2,50,924,874
PROD00035,Packaged Snacks,Snacks & Drinks,907,Free Delivery,725.6,33,940,907
PROD00036,Portable Hard Drive,Electronics,778,Free Delivery,622.4,36,814,778
PROD00037,Pulses,Groceries & Kitchen Essentials,942,"Free Delivery, 20% on product",753.6,49,991,991
PROD00038,Scrub Pads,Household Essentials,204,Free Delivery,163.2,34,238,204
PROD00039,Shampoo,Beauty & Personal Care,1495,Free Delivery,1196,46,1541,1495
PROD00040,Pulses,Groceries & Kitchen Essentials,717,"Free Delivery, 20% on product",573.6,48,765,765
PROD00041,Spaghetti,Recipe Ideas,55,,44,47,102,102
PROD00042,Flavored Milk,Snacks & Drinks,1177,Free Delivery,941.6,42,1219,1177
PROD00043,Hair Oil,Beauty & Personal Care,366,Free Delivery,292.8,45,411,366
PROD00044,Cooking Oil,Groceries & Kitchen Essentials,1865,"Free Delivery, 20% on product",1492,34,1899,1899
PROD00045,Baking Powder,Recipe Ideas,1215,Free Delivery,972,50,1265,1215
