Or_ID,Prod_Rating,Delivery_Service_Rating
ORD00001,1,1
ORD00002,3,5
ORD00003,3,3
ORD00004,1,3
ORD00005,2,3
ORD00006,3,2
ORD00007,4,2
ORD00008,5,2
ORD00009,2,3
ORD00010,3,3
ORD00011,1,1
ORD00012,3,1
ORD00013,4,2
ORD00014,5,2
ORD00015,4,1
ORD00016,5,1
ORD00017,2,4
ORD00018,3,3
ORD00019,5,2
ORD00020,1,3
ORD00021,5,5
ORD00022,1,1
ORD00023,5,3
ORD00024,4,2
ORD00025,4,4
ORD00026,2,1
ORD00027,3,2
ORD00028,3,3
ORD00029,3,4
ORD00030,5,2
ORD00031,4,2
ORD00032,5,2
ORD00033,2,4
ORD00034,5,1
ORD00035,,4
ORD00036,4,5
ORD00037,1,2
ORD00038,2,1
ORD00039,5,3
ORD00040,4,2
ORD00041,2,1
ORD00042,1,4
ORD00043,4,1
ORD00044,2,5
ORD00045,1,2
ORD00046,2,1
ORD00047,3,1
ORD00048,1,2
ORD00049,3,1
ORD00050,4,4
ORD00051,1,1
ORD00052,5,5
ORD00053,3,5
ORD00054,4,5
ORD00055,3,4
ORD00056,5,2
ORD00057,1,3
ORD00058,2,2
ORD00059,1,3
ORD00060,5,2
ORD00061,4,2
ORD00062,2,1
ORD00063,3,2
ORD00064,2,4
ORD00065,2,4
ORD00066,5,1
ORD00067,2,2
ORD00068,3,4
ORD00069,5,5
ORD00070,3,3
ORD00071,1,4
ORD00072,5,3
ORD00073,1,3
ORD00074,4,4
ORD00075,3,3
ORD00076,4,2
ORD00077,2,
ORD00078,5,5
ORD00079,2,4
ORD00080,2,4
ORD00081,3,2
ORD00082,5,3
ORD00083,4,3
ORD00084,3,3
ORD00085,5,3
ORD00086,5,4
ORD00087,5,5
ORD00088,3,5
ORD00089,1,1
ORD00090,1,1
ORD00091,3,4
ORD00092,3,1
ORD00093,2,1
ORD00094,2,1
ORD00095,5,3
ORD00096,1,3
ORD00097,1,5
ORD00098,4,5
ORD00099,4,2
ORD00100,,3
ORD00101,3,2
ORD00102,2,2
ORD00103,5,2
ORD00104,4,5
ORD00105,4,4
ORD00106,2,2
ORD00107,2,3
ORD00108,5,4
ORD00109,2,
ORD00110,4,5
ORD00111,,2
ORD00112,5,5
ORD00113,1,2
ORD00114,4,2
ORD00115,5,
ORD00116,1,3
ORD00117,4,5
ORD00118,1,5
ORD00119,2,3
ORD00120,4,1
ORD00121,3,3
ORD00122,5,3
ORD00123,3,3
ORD00124,,3
ORD00125,2,5
ORD00126,5,1
ORD00127,2,2
ORD00128,5,5
ORD00129,5,5
ORD00130,1,1
ORD00131,3,5
ORD00132,2,4
ORD00133,5,2
ORD00134,2,1
ORD00135,1,4
ORD00136,1,4
ORD00137,4,2
ORD00138,5,4
ORD00139,1,3
ORD00140,3,2
ORD00141,3,4
ORD00142,2,3
ORD00143,2,4
ORD00144,3,4
ORD00145,,3
ORD00146,4,3
ORD00147,4,3
ORD00148,2,4
ORD00149,2,3
ORD00150,5,4
ORD00151,5,5
ORD00152,4,1
ORD00153,1,2
ORD00154,2,2
ORD00155,5,
ORD00156,3,5
ORD00157,2,1
ORD00158,4,3
ORD00159,4,4
ORD00160,5,1
ORD00161,4,4
ORD00162,3,2
ORD00163,2,
ORD00164,3,
ORD00165,2,4
ORD00166,1,2
ORD00167,3,4
ORD00168,3,4
ORD00169,1,3
ORD00170,4,4
ORD00171,3,5
ORD00172,2,5
ORD00173,1,3
ORD00174,2,5
ORD00175,5,2
ORD00176,3,3
ORD00177,5,1
ORD00178,4,2
ORD00179,2,1
ORD00180,5,3
ORD00181,2,3
ORD00182,5,1
ORD00183,2,3
ORD00184,4,3
ORD00185,2,5
ORD00186,,5
ORD00187,4,1
ORD00188,1,4
ORD00189,3,4
ORD00190,2,2
ORD00191,5,5
ORD00192,4,4
ORD00193,5,4
ORD00194,2,1
ORD00195,1,4
ORD00196,2,3
ORD00197,4,1
ORD00198,5,2
ORD00199,2,1
ORD00200,1,4
ORD00201,4,2
ORD00202,3,5
ORD00203,2,1
ORD00204,1,4
ORD00205,4,2
ORD00206,1,4
ORD00207,1,3
ORD00208,4,5
ORD00209,4,3
ORD00210,4,1
ORD00211,1,3
ORD00212,4,1
ORD00213,2,3
ORD00214,5,2
ORD00215,4,3
ORD00216,4,4
ORD00217,2,1
